plate,Taxon,Sample,SameLeaf?
CC01,NA,BLANK,
CC01,Eucalyptus melliodora,Emel_CSIROgate,
CC01,Eucalyptus bicostata,R013/T38,
CC01,Eucalyptus brunnea,R014/T39,
CC01,Eucalyptus stellulata,R016/T44,
CC01,Eucalyptus stellulata,R016/T44,
CC01,Eucalyptus polybractea,R028/T25,
CC01,Eucalyptus polybractea,R028/T25,
CC01,Eucalyptus porosa,R040/T12,
CC01,Eucalyptus sparsa,R042/T08,
CC01,Eucalyptus intertexta,R045/T13,
CC01,Eucalyptus polyanthemos subsp. polyanthemos,R046/T36,
CC01,Eucalyptus conica,R047/T05,
CC01,Eucalyptus bridgesiana,R047/T13,
CC01,Eucalyptus macrorhyncha subsp. macrorhyncha,R047/T16,
CC01,Eucalyptus dawsonii,R047/T19,
CC01,Eucalyptus largiflorens,R047/T23,
CC01,Eucalyptus melliodora,R048/T13,
CC01,Eucalyptus melliodora,R048/T13,
CC01,Eucalyptus melliodora,R048/T13,
CC01,Eucalyptus melliodora,R048/T13,Y
CC01,Eucalyptus caleyi subsp. caleyi,R048/T17,
CC01,Eucalyptus polyanthemos subsp. marginalis,R048/T33,
CC01,Eucalyptus viridis,R049/T01,
CC01,Eucalyptus woollsiana,R049/T06,
CC01,Eucalyptus melanophloia subsp. melanophloia,R049/T17,
CC01,Eucalyptus moluccana,R049/T25,
CC01,Eucalyptus nicholii,R049/T31,
CC01,Eucalyptus goniocalyx subsp. exposa,R049/T32,
CC01,Eucalyptus fibrosa,R050/T13,
CC01,Eucalyptus sparsifolia,R051/T09,
CC01,Eucalyptus sideroxylon,R052/T09,
CC01,Eucalyptus sideroxylon,R052/T09,
CC01,Eucalyptus lansdowneana,R052/T33,
CC01,Eucalyptus panda,R053/T33,
CC01,Eucalyptus quadrangulata,R055/T01,
CC01,Eucalyptus rossii,R057/T10,
CC01,Eucalyptus nobilis,R057/T33,
CC01,Eucalyptus mannifera subsp. 'Alpine Victoria',R058/T16,
CC01,Eucalyptus pauciflora subsp. pauciflora,R058/T25,
CC01,Eucalyptus populnea subsp. populnea,R059/T13,
CC01,Eucalyptus rossii,R060/T09,
CC01,Eucalyptus fusiformis,R061/T14,
CC01,Eucalyptus odorata,R064/T40,
CC01,Eucalyptus scoparia,R072/T34,
CC01,Eucalyptus obliqua,R072/T39,
CC01,Eucalyptus viminalis subsp. cygnetensis,R075/T26,
CC01,Eucalyptus ovata subsp. ovata,R076/T29,
CC01,Eucalyptus coolabah,R086/T16,
CC01,Eucalyptus melliodora x E. sideroxylon,R087/T18,
CC01,Eucalyptus melliodora x E. sideroxylon,R087/T18,
CC01,Eucalyptus melliodora x E. sideroxylon,R087/T18,
CC01,Eucalyptus melliodora x E. sideroxylon,R087/T18,
CC01,Eucalyptus microcarpa,R088/T35,
CC01,Eucalyptus granitica,R094/T01,
CC01,Eucalyptus dunnii,R094/T31,
CC01,Eucalyptus albens,R133/T06,
CC01,Eucalyptus cajuputea,R135/T25,
CC01,Eucalyptus ovata subsp. ovata,R139/T36,
CC01,Eucalyptus sieberi,R141/T21,
CC01,Eucalyptus bosistoana,R141/T29,
CC01,Eucalyptus strzeleckii,R142/T05,
CC01,Eucalyptus croajingolensis,R142/T16,
CC01,Eucalyptus maidenii,R144/T01,
CC01,Eucalyptus nitens,R144/T27,
CC01,Eucalyptus globulus,R145/T21,
CC01,Eucalyptus elata,R146/T16,
CC01,Eucalyptus globulus,R153/T21,
CC01,Eucalyptus globulus,R153/T21,
CC01,Eucalyptus acmenoides,R160/T05,
CC01,Eucalyptus pilularis,R165/T22,
CC01,Eucalyptus coronata,R173/T11,
CC01,Eucalyptus coolabah,R185/T28,
CC01,Eucalyptus albens,R189/T24,
CC01,Eucalyptus cypellocarpa,R190/T05,
CC01,Eucalyptus leucoxylon subsp. leucoxylon,R190/T17,
CC01,Eucalyptus magnificata,R192/T22,
CC01,Eucalyptus elata,R193/T06,
CC01,Eucalyptus radiata subsp. radiata,R193/T13,
CC01,Eucalyptus cinerea subsp. cinerea,R237/T01,
CC01,Eucalyptus crebra,R243/T09,
CC01,Eucalyptus fastigata,R245/T20,
CC01,Eucalyptus patens,R261/T02,
CC01,Eucalyptus viminalis subsp. viminalis,R273/T09,
CC01,Eucalyptus dives,R281/T10,
CC01,Eucalyptus haemastoma,R292/T09,
CC01,Eucalyptus microcodon,R306/T13,
CC01,Eucalyptus regnans,R307/T19,
CC01,Eucalyptus baxteri,R340/T22,
CC01,Eucalyptus pauciflora subsp. parvifructa,R341/T21,
CC01,Eucalyptus marginata subsp. marginata,R342/T24,
CC01,Eucalyptus tetrapleura,R093/T33,
CC01,Eucalyptus ophitica,R151/T30,
CC01,,,
CC01,,,
CC01,,,
CC02,NA,BLANK,
CC02,Eucalyptus melliodora,Emel_CSIROgate,
CC02,Eucalyptus mannensis subsp. mannensis,R009/T05,
CC02,Eucalyptus socialis subsp. victoriensis,R009/T31,
CC02,Eucalyptus ebbanoensis subsp. ebbanoensis,R010/T24,
CC02,Eucalyptus ebbanoensis subsp. ebbanoensis,R010/T24,
CC02,Eucalyptus angustissima,R013/T20,
CC02,Eucalyptus brockwayi,R015/T13,
CC02,Eucalyptus micranthera,R018/T34,
CC02,Eucalyptus delicata,R019/T29,
CC02,Eucalyptus kochii subsp. kochii,R020/T11,
CC02,Eucalyptus decipiens,R024/T33,
CC02,Eucalyptus recta,R025/T14,
CC02,Eucalyptus eudesmioides,R025/T34,
CC02,Eucalyptus optima,R027/T08,
CC02,Eucalyptus ornata,R027/T37,
CC02,Eucalyptus salmonophloia,R042/T13,
CC02,Eucalyptus cneorifolia,R044/T01,
CC02,Eucalyptus botryoides,R046/T35,
CC02,Eucalyptus longifolia,R047/T27,
CC02,Eucalyptus gomphocephala,R047/T35,
CC02,Eucalyptus exserta,R049/T09,
CC02,Corymbia trachyphloia subsp. trachyphloia,R049/T18,
CC02,Eucalyptus blakelyi,R050/T01,
CC02,Eucalyptus dealbata,R050/T05,
CC02,Eucalyptus kabiana,R050/T22,
CC02,Eucalyptus prava,R052/T01,
CC02,Eucalyptus baileyana,R052/T21,
CC02,Eucalyptus notabilis,R053/T15,
CC02,Corymbia eximia,R053/T21,
CC02,Corymbia citriodora,R054/T24,
CC02,Eucalyptus cloeziana,R056/T22,
CC02,Corymbia gummifera,R058/T36,
CC02,Eucalyptus michaeliana,R061/T01,
CC02,Eucalyptus roycei,R063/T21,
CC02,Eucalyptus extrica,R065/T31,
CC02,Eucalyptus urna,R066/T05,
CC02,Eucalyptus camaldulensis subsp. arida,R066/T25,
CC02,Eucalyptus obesa,R068/T20,
CC02,Eucalyptus rudis subsp. rudis,R069/T32,
CC02,Eucalyptus pleurocarpa,R071/T12,
CC02,Eucalyptus camaldulensis subsp. camaldulensis,R071/T28,
CC02,Corymbia calophylla,R072/T27,
CC02,Eucalyptus gillenii,R073/T02,
CC02,Eucalyptus diversicolor,R076/T20,
CC02,Corymbia deserticola subsp. deserticola,R083/T11,
CC02,Eucalyptus herbertiana,R084/T22,
CC02,Eucalyptus eremicola subsp. peeneri,R086/T12,
CC02,Eucalyptus platyphylla,R089/T24,
CC02,Eucalyptus infera,R090/T26,
CC02,Eucalyptus camaldulensis subsp. simulata,R093/T08,
CC02,Corymbia gummifera,R093/T18,
CC02,Eucalyptus grandis,R093/T35,
CC02,Eucalyptus grandis,R093/T35,
CC02,Eucalyptus microcorys,R094/T05,
CC02,Angophora floribunda,R131/T10,
CC02,Corymbia aparrerinja,R132/T05,
CC02,Corymbia eremaea subsp. eremaea,R135/T17,
CC02,Corymbia maculata,R140/T05,
CC02,Corymbia maculata,R140/T05,
CC02,Eucalyptus major,R151/T09,
CC02,Angophora costata subsp. costata,R158/T09,
CC02,Angophora costata subsp. costata,R158/T09,
CC02,Eucalyptus squamosa,R158/T17,
CC02,Eucalyptus curtisii,R159/T09,
CC02,Corymbia abergiana,R159/T13,
CC02,Eucalyptus camaldulensis subsp. obtusa,R172/T15,
CC02,Angophora melanoxylon,R173/T01,
CC02,Eucalyptus odontocarpa,R183/T30,
CC02,Eucalyptus saligna,R195/T02,
CC02,Eucalyptus gongylocarpa,R200/T29,
CC02,Eucalyptus obesa,R231/T05,
CC02,Eucalyptus tenuipes,R241/T01,
CC02,Eucalyptus exserta,R241/T07,
CC02,Eucalyptus alba var. australasica,R247/T14,
CC02,Eucalyptus botryoides,R248/T18,
CC02,Eucalyptus camaldulensis subsp. camaldulensis,R260/T13,
CC02,Eucalyptus camaldulensis subsp. camaldulensis,R260/T13,Y
CC02,Eucalyptus chartaboma,R298/T16,
CC02,Eucalyptus camaldulensis subsp. minima,R300/T25,
CC02,Eucalyptus lirata,R305/T21,
CC02,Corymbia ficifolia,R310/T02,
CC02,Corymbia ficifolia,R310/T02,
CC02,Eucalyptus guilfoylei,R340/T26,
CC02,Corymbia tessellaris,R341/T01,
CC02,Eucalyptus cosmophylla,R344/T26,
CC02,Eucalyptus jucunda,R345/T05,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
CC02,,,
